date,mse,std,corr,max_power,weather,cond
20180627,0.000546385,0.000344377,0.991944951,149.7142857,0,1
20180628,0.001992972,0.000746192,0.953504478,209.7142857,1,1
20180629,0.003494099,0.002827276,0.883450762,251.7142857,4,0
20180630,0.002652933,0.001677821,0.909288368,233.1428571,0,1
20180701,0.001746693,0.001039298,0.896122953,228.7142857,0,0
20180702,0.00354909,0.001572899,0.911572929,233.8571429,0,1
20180703,0.003311355,0.001939186,0.943596161,237,0,0
20180704,0.001574492,0.000756938,0.910855421,234.8571429,0,1
20180705,0.001296086,0.000743001,0.98028887,237.8571429,0,1
20180706,0.003176165,0.002247754,0.908410223,258.5714286,1,0
20180707,0.001625244,0.000828108,0.905463193,265.4285714,0,0
20180708,0.002534071,0.000900022,0.915808029,245.5714286,0,1
20180709,0.001401374,0.000892277,0.915537954,249.2857143,0,1
20180710,0.001592439,0.000809646,0.971964871,244.7142857,0,1
20180711,0.003256408,0.002452191,0.887883842,262.2857143,1,0
20180712,0.00162243,0.001024979,0.897558714,259,0,1
20180713,0.001494586,0.000656345,0.925204983,240.5714286,3,1
20180714,0.00352076,0.00221563,0.889093223,211.2857143,1,0
20180715,0.003530092,0.000730506,0.926694015,272.7142857,3,0
20180717,0.001692044,0.00046318,0.944918467,75.71428571,1,0
20180718,0.00106788,0.000445569,0.92096722,264.1428571,1,1
20180719,0.002694205,0.001018414,0.912966491,253.2857143,0,1
20180720,0.001158361,0.000350213,0.953704575,251.1428571,0,1
20180721,0.001129174,0.000814357,0.968371962,254.1428571,0,1
20180722,0.002576173,0.00218888,0.946840638,224.7142857,4,0
20180723,0.001932189,0.000552032,0.943350545,250.7142857,1,1
20180724,0.004682288,0.002782039,0.829000698,228.5714286,3,0
20180725,0.002211701,0.001590032,0.957553962,109.2857143,1,1
20180726,0.003973969,0.003155471,0.755060876,256.7142857,1,0
20180727,0.001155447,0.000603255,0.962827634,247.2857143,0,1
20180728,0.002887062,0.002634009,0.942866833,265.8571429,3,0
20180729,0.003225538,0.003236187,0.932898198,275.2857143,0,0
20180730,0.000719856,0.000265651,0.991172998,217.1428571,0,1
20180731,0.00362702,0.002953134,0.936562686,235.7142857,0,0
20180801,0.002525735,0.002924261,0.832502303,87.42857143,3,0
20180802,0.001101349,0.000494804,0.980316421,226,1,1
20180803,0.001098488,0.000192599,0.986954095,234.7142857,1,1
20180804,0.004303467,0.005545224,0.737267753,225.1428571,1,0
20180805,0.002793476,0.001353087,0.972510824,220.1428571,4,1
20180806,0.001606764,0.001018974,0.980172782,214.8571429,0,1
20180807,0.002569262,0.002834708,0.957241326,194.4285714,0,1
20180808,0.000909347,0.000446397,0.989447715,195.7142857,1,1
20180809,0.003327065,0.001752282,0.925552564,235.4285714,1,0
20180810,0.003362023,0.002237686,0.93,215.8571429,0,0
20180811,0.001386063,0.000772732,0.970483698,91.14285714,1,1
20180812,0.00223241,0.003365226,0.906298206,131,4,0
20180813,0.001631475,0.001323905,0.92,84.57142857,4,0
20180814,0.012508506,0.005937304,0.869287036,243.8571429,4,0
20180815,0.002577502,0.00112705,0.970377321,215.8571429,3,1
20180816,0.000845953,0.000409716,0.992033774,215.5714286,0,1
20180817,0.001816189,0.000813204,0.943078062,219.1428571,1,0
20180818,0.002143074,0.001177538,0.943601524,169.2857143,1,0
20180819,0.001124919,0.000476642,0.992635124,215.2857143,1,1
20180820,0.001965462,0.000371848,0.973328875,186.1428571,5,1
20180821,0.000656325,0.000243923,0.986381341,227.1428571,5,1
20180822,0.003008278,0.000374681,0.95223386,239.5714286,1,1
20180823,0.002560329,0.001770527,0.954926631,251.5714286,3,1
20180824,0.001677788,0.000829385,0.975679576,212.5714286,0,1
20180825,0.002647862,0.001031715,0.937235629,216.7142857,0,0
20180826,0.001936596,0.00079719,0.971983066,183.4285714,0,1
20180827,0.001987701,0.000585622,0.96715373,213.4285714,0,1
20180828,0.003244295,0.001950182,0.948019677,192.8571429,0,1
20180829,0.002448999,0.000969449,0.943149954,254.8571429,0,0
20180830,0.003341213,0.001721996,0.938821195,247,0,0
20180831,0.001094139,0.000868658,0.980217989,214.4285714,3,1
20180901,0.00129932,0.000970472,0.964814063,145.4285714,3,1
20180902,0.001836921,0.00078616,0.955523914,246.1428571,0,1
20180903,0.002430321,0.000962093,0.926081375,227.5714286,0,0
20180904,0.00290495,0.002334219,0.894297956,211.4285714,0,0
20180905,0.001903004,0.000816927,0.908459597,216.7142857,0,0
20180906,0.001561253,0.000469575,0.976276461,187.2857143,1,1
20180907,0.003487338,0.000516816,0.94030907,163.7142857,3,0
20180908,0.000703236,0.000334738,0.994032981,131.8571429,3,1
20180909,0.000656916,0.000378444,0.972516717,164.1428571,0,1
20180910,0.000623872,0.000180793,0.978548958,81.57142857,1,1
20180912,0.002172303,0.000291339,0.990998988,189.8571429,1,1
20180913,0.004858084,0.001753929,0.900841099,210.1428571,1,0
20180914,0.003210858,0.001624927,0.802981655,232,3,0
20180915,0.003080725,0.001258072,0.894644599,202.8571429,4,0
20180916,0.002952496,0.001604412,0.939753315,187.1428571,4,1
20180917,0.002700726,0.000494909,0.979840933,193.2857143,0,1
20180918,0.002932175,0.000829521,0.845356935,217.5714286,4,0
20180919,0.002645501,0.001501516,0.939734877,206.4285714,4,0
20180920,0.003602257,0.002810478,0.910921963,206.7142857,3,0
20180921,0.000902662,0.000494737,0.980738551,50.28571429,3,1
20180922,0.000719207,0.000152813,0.986846929,193.5714286,1,1
20180923,0.000719879,0.000168049,0.994525336,164.7142857,0,1
20180924,0.000977335,0.001144095,0.977568538,72.28571429,3,1
20180925,0.000795102,0.000653335,0.94245094,26.85714286,1,0
20180926,0.001678498,0.000754483,0.963029327,104.2857143,1,1
20180927,0.000919244,0.000304987,0.987619784,170,1,1
20180928,0.00118788,0.001194527,0.968873191,210.1428571,1,1
20180929,0.001649297,0.000951875,0.861152902,223.5714286,0,0
20180930,0.001474791,0.000669887,0.967107808,191,0,1
20181001,0.000693875,0.000210872,0.973071197,45.85714286,1,1
20181002,0.000668733,8.13E-05,0.987982697,40.28571429,4,1
20181003,0.00124952,0.000350666,0.989560865,95.14285714,4,1
20181004,0.001168909,0.000191029,0.981972748,164.4285714,5,1
20181005,0.001465254,0.000926939,0.924924031,192,0,0
20181006,0.001306246,0.000319887,0.979506553,61.85714286,3,1
20181007,0.00401807,0.001029279,0.890384011,111.4285714,1,0
20181008,0.000735569,0.00014986,0.988234186,50.42857143,5,1
20181009,0.002443489,0.001390641,0.933829457,178.5714286,5,0
20181010,0.003976432,0.002439004,0.800480278,201.1428571,0,0
20181011,0.00234597,0.002753358,0.97473731,33.71428571,4,1
20181012,0.002959517,0.002339259,0.798588018,168.8571429,1,0
20181013,0.002021536,0.000908596,0.894887789,161.4285714,1,0
20181014,0.001582622,0.000574289,0.92344543,173.8571429,0,0
20181015,0.000764498,0.000434234,0.975251739,32.85714286,5,1
20181016,0.002859214,0.001829739,0.88546335,170.7142857,1,0
20181017,0.001008424,0.000491649,0.978646046,149.2857143,0,1
20181018,0.002327524,0.001486565,0.805817205,215.4285714,0,0
20181019,0.004065764,0.002137069,0.72775989,165.4285714,0,0
20181020,0.001804495,0.000752931,0.914744157,154.8571429,0,0
20181021,0.001390014,0.000305676,0.929907926,243.2857143,1,0
20181022,0.001428424,0.000650533,0.987441501,87.42857143,0,1
20181023,0.001381743,0.000419241,0.945122263,133.8571429,1,0
20181024,0.000551052,0.000139855,0.987783858,55.28571429,1,1
20181025,0.002991856,0.001725389,0.95684678,131.8571429,0,0
20181026,0.003727187,0.002067065,0.869156363,139.4285714,0,0
20181027,0.000271082,0.000161749,0.980187676,74.42857143,1,1
20181028,0.000891641,0.000324364,0.982755068,112.2857143,1,1
20181029,0.000927522,0.0003381,0.973453479,69.85714286,1,1
20181030,0.002729211,0.001008818,0.968791948,110.7142857,0,1
20181031,0.001209654,0.000284781,0.974218369,130.5714286,0,1
20181101,0.000566949,0.000205696,0.985134739,27.42857143,4,0
20181102,0.000542889,6.15E-05,0.982304101,50.85714286,4,1
20181103,0.001046846,0.000406817,0.936710286,54.28571429,1,1
20181104,0.002749644,0.001443025,0.94595026,105.7142857,0,0
20181105,0.000950677,0.000287173,0.982980818,57.14285714,1,1
20181106,0.00067959,0.000141186,0.984241131,30.71428571,4,1
20181107,0.001955091,0.000689105,0.637536459,118.4285714,0,0
20181108,0.00185013,0.000294204,0.991887127,60.28571429,0,1
20181109,0.001412335,0.002067919,0.961293179,50,1,1
20181110,0.003497686,0.001640582,0.931863677,90.14285714,1,0
20181111,0.003248249,0.00346761,0.855956865,90.85714286,0,0
20181112,0.001788736,0.001309498,0.92052574,82.28571429,0,1
20181113,0.001635216,0.000218975,0.958161961,38.57142857,1,0
20181114,0.003597433,0.002610571,0.793867484,98.42857143,0,0
20181115,0.000485159,0.00012263,0.994930608,65.14285714,2,1
20181117,0.015240391,0.004902561,0.088729395,5.714285714,2,0
20181118,0.003076596,0.002119615,0.446008411,32.85714286,2,0
20181119,0.008018157,0.001981758,0.418853195,9.428571429,2,0
20181120,0.008824046,0.004926529,0.568845379,8.428571429,2,0
20181121,0.002012745,0.000525638,0.929856681,20.71428571,1,0
20181122,0.003884415,0.00106013,0.872489465,24.71428571,2,0
20181123,0.010666577,0.004042966,0.368530124,23.85714286,0,0
20181124,0.003684374,0.001047953,0.672102217,25.28571429,0,0
20181125,0.000852631,0.000192527,0.980683625,45.28571429,4,1
20181126,0.000387952,9.01E-05,0.986971687,47.71428571,4,1
20181127,0.019811731,0.016600716,0.480803441,5.857142857,1,0
20181128,0.006786383,0.002271395,0.771081374,8,3,0
20181129,0.004503229,0.003841969,0.843779606,21.14285714,3,0
20181130,0.000168659,3.17E-05,0.992210095,60.57142857,0,1
20181201,0.000456084,4.24E-05,0.992134452,60.85714286,3,1
20181202,0.00102426,0.000432392,0.974348699,22.71428571,4,0
20181203,0.000766474,0.000238578,0.978940308,60,4,1
20181204,0.002098553,0.00070269,0.721566285,72.14285714,0,0
20181205,0.001150569,0.000427352,0.898082613,68.42857143,0,0
20181206,0.001720123,0.000250905,0.986613414,63.28571429,0,1
20181207,0.003083811,0.000600273,0.79731926,27.71428571,0,0
20181208,0.002779014,0.000961166,0.764447482,49.28571429,0,0
20181209,0.002166137,0.000724068,0.685868064,78,0,0
20181210,0.001622239,0.000481737,0.812681986,75.85714286,0,0
20181211,0.001356159,0.000837312,0.857307184,68.14285714,0,0
20181212,0.000608995,0.000156798,0.979207393,52,0,1
20181213,0.000842271,0.000244522,0.97183795,39.28571429,0,1
20181214,0.001675487,0.000384246,0.954603671,58.85714286,3,1
20181215,0.000428458,0.000119002,0.994726863,64.57142857,5,1
20181216,0.00055631,5.75E-05,0.985313748,35.14285714,1,1
20181217,0.001850429,0.000672311,0.951561397,16.71428571,1,0
20181218,0.002651486,0.000522147,0.56004153,74.85714286,2,0
20181219,0.002495632,0.001354533,0.727195123,81.85714286,2,0
20181221,0.000464155,0.000172812,0.981060648,36.42857143,1,1
20181222,0.000543617,7.95E-05,0.984789185,34,1,1
20181224,0.002665664,0.000928909,0.80312106,14.14285714,5,0
20181225,0.007909825,0.003662928,0.536029549,13.57142857,0,0
20181226,0.002491555,0.002202506,0.958161353,12.14285714,0,0
20181227,0.003516376,0.001255081,0.817388978,21.14285714,0,0
20181228,0.00065497,0.000271085,0.988049278,27,1,1
20181229,0.00070074,0.000409497,0.959052294,53.57142857,4,1
20181230,0.001557825,0.000452521,0.985908051,55.71428571,0,1
20181231,0.00069435,0.000192911,0.993334914,47.14285714,2,1
20190101,0.00261749,0.000343206,0.983279883,57.71428571,1,1
20190102,0.002325776,0.000900998,0.885327758,59.71428571,2,0
20190103,0.000743717,0.000272123,0.964426176,42,2,1
20190104,0.00063416,0.000125052,0.99279484,56.85714286,2,1
20190105,0.000838959,8.25E-05,0.995117011,81.57142857,1,1
20190106,0.001257896,0.00053414,0.965145941,55.42857143,3,1
20190107,0.000375594,0.00018118,0.993842204,66.57142857,0,1
20190108,0.000825649,0.000209909,0.912952169,84.42857143,4,0
20190109,0.001553721,0.001653087,0.9,48.85714286,4,0
20190110,0.000393405,0.000176491,0.961178296,72.85714286,5,1
20190111,0.00195821,0.000679516,0.802471018,93,0,0
20190112,0.002538343,0.000855561,0.592126028,99.28571429,0,0
20190113,0.002340689,0.000826611,0.635661952,91.71428571,0,0
20190114,0.003995629,0.002056341,0.678328541,101,5,0
20190115,0.000698072,0.000164961,0.995456274,87,0,1
20190116,0.001140901,0.00046213,0.920889232,46.28571429,0,0
20190117,0.002034256,0.000784733,0.926067593,74.85714286,0,0
20190118,0.000486391,0.000111096,0.986298403,28,3,0
20190119,0.000510726,0.000315694,0.991179061,65.42857143,2,1
20190124,0.003197475,0.003717239,0.916797276,12.42857143,1,0
20190125,0.001226296,0.000393303,0.960205357,78.14285714,0,1
20190126,0.000685611,0.000327742,0.971901169,88.28571429,0,1
20190127,0.000450987,0.000220592,0.989842783,68.28571429,0,1
20190128,0.001997431,0.000635952,0.803167163,121.4285714,3,0
20190129,0.003116729,0.001544384,0.699226982,28.71428571,2,0
20190130,0.063191301,0.068742535,,0.857142857,2,0
20190131,0.033509951,0.018822913,0.349408457,3.285714286,2,0
20190201,0.013765378,0.009926761,0.296214214,4.571428571,2,0
20190202,0.022046871,0.011589549,0.551026786,3.857142857,0,0
20190203,0.006801374,0.004365714,0.782993225,9.285714286,3,0
20190204,0.002209761,0.001215613,0.711418298,112.2857143,0,0
20190205,0.002523448,0.001237271,0.928620688,103.1428571,0,0
20190206,0.000646079,0.000403079,0.971901855,111.5714286,1,1
20190207,0.001089576,0.000603601,0.982052762,79.14285714,1,1
20190208,0.001059728,0.00048353,0.931084342,122.5714286,1,1
20190209,0.00306755,0.001289401,0.773637207,160.1428571,0,0
20190210,0.00239152,0.000505747,0.94012873,127.7142857,0,0
20190211,0.004336074,0.00330427,0.927395504,138.5714286,3,0
20190212,0.000696724,0.000274968,0.991040803,47.42857143,2,1
20190214,0.043702613,0.04179032,-0.124893307,5,2,0
