contact_1,contact_2,open_1,open_2
0.51,62.86,90.98,17.47
0.51,63.91,90.98,17.47
0.51,63.17,0,17.59
0.51,63.04,0,17.59
0.38,63.83,0,17.48
0.51,63.12,0,17.47
0.38,63.12,0,17.61
0.51,64.22,0,17.47
0.38,63.56,0,17.59
0.51,63.04,0,17.61
0.51,63.96,0,17.72
0.38,63.96,0,17.47
0.51,63.12,0,17.59
0.38,64.17,0,17.59
0.38,63.83,0,17.59
0.51,63.52,0,17.47
0.38,62.34,0,17.72
0.38,61.99,0,17.47
0.51,61.82,0,17.61
0,62.65,0,17.59
0.51,64.61,0,17.61
0.38,64.14,0,17.48
0.38,64.09,0,17.48
0.38,64.01,0,17.59
0.51,64.92,0,17.61
0.38,64.92,0,17.61
0.51,65.05,0,17.61
0.51,64.92,0,17.73
0.38,64.66,0,17.73
0.51,65.4,0,17.61
0.38,64.92,0,17.61
0.38,64.92,0,17.73
0.25,65.84,0,17.73
0.25,64.66,0,17.73
0.51,65.58,0,17.73
0.25,64.27,0,17.73
0.51,64.01,0,17.59
0.38,64.79,0,17.73
0.38,64.4,0,17.86
0.38,64.66,0,17.73
0.38,65.31,0,17.73
0.51,65.18,0,17.73
0.38,64.4,0,17.86
0.38,61.47,0,17.73
0.25,65.31,0,17.73
0.38,65.05,0,17.73
0.38,65.31,0,17.73
0.38,65.45,0,17.73
0.38,61.86,0,17.73
0.38,67.15,0,17.73
0.38,64.27,0,17.86
0.38,62.7,0,17.73
0.51,63.83,0,17.73
0.38,65.18,0,17.73
0.38,65.58,0,17.73
0.51,65.58,0,17.73
19.35,64.53,0,17.73
19.5,64.53,0,17.86
19.37,65.84,0,17.73
19.37,65.71,0,17.87
19.24,65.58,0,17.73
19.64,65.05,0,17.73
19.64,65.71,1.41,17.86
19.9,65.58,3.86,17.73
19.64,65.31,7.74,17.73
19.51,64.22,28.03,17.75
19.9,68.51,92.56,17.75
20.03,65.45,82.4,17.87
20.44,64.53,70.46,17.75
20.44,64.92,61.81,17.75
20.18,63.69,54.83,17.87
20.31,63.04,49.16,17.87
20.57,65.58,44.83,17.75
20.57,64.79,40.97,17.75
20.97,64.66,37.8,17.87
20.32,64.4,35.39,17.73
20.45,64.01,33.01,17.87
19.92,64.92,31.03,18
19.92,64.27,29.2,17.87
19.66,65.45,27.62,17.87
19.93,64.53,26.17,17.75
20.19,64.92,24.99,17.87
21.12,65.45,23.8,17.87
21.12,64.92,22.63,17.75
21.25,65.45,21.84,18
21.38,64.4,20.93,17.87
21.51,65.31,20,17.87
21.51,64.35,19.48,17.87
21.38,64.92,18.69,17.87
21.25,64.4,17.91,17.76
21.25,65.58,17.63,17.87
21.14,65.45,19.08,17.87
21.38,65.31,20.65,17.87
21.64,63.61,22.36,17.87
21.25,65.31,24.58,17.75
21.12,65.05,27.21,17.87
21.01,65.58,30.49,17.75
20.99,58.16,34.6,18
20.99,62.17,40.28,17.87
20.86,63.17,48.18,17.75
21.01,64.4,59.48,17.87
20.88,64.27,77.55,17.87
21.14,64.79,92.05,17.87
21.14,65.45,92.32,17.75
21.41,65.31,92.79,17.88
21.27,65.05,92.8,17.87
21.23,64.66,92.93,17.87
21.41,65.58,93,17.87
21.14,65.05,93,17.87
21.14,65.97,93.14,17.75
21.01,65.84,92.87,17.87
21.14,65.84,93.14,17.75
21.41,65.84,92.87,17.87
21.41,65.05,92.87,17.75
21.81,65.05,92.6,17.75
21.41,65.05,92.67,17.87
0.38,65.05,92.81,17.75
0.38,65.05,92.67,17.75
0.38,65.18,92.61,17.75
0.25,65.05,92.74,17.87
0.38,64.66,92.67,17.75
0.51,65.18,92.67,17.88
0.51,64.92,0,17.75
0.38,65.97,0,17.75
0.51,65.97,0,17.76
0.38,64.92,0,17.75
0.25,64.66,0,17.87
0.25,64.79,0,17.87
0.38,64.66,0,17.75
0.38,64.79,0,17.75
0.38,62.39,0,17.75
0.25,64.4,0,17.76
0.38,64.01,0,17.75
0.38,67.67,0,17.5
0.38,64.53,0,17.63
0.38,65.84,0,17.75
0.38,65.97,0,17.5
0.38,66.23,0,17.62
0.38,65.05,0,17.63
0.38,62.04,0,17.62
0.38,65.97,0,17.37
0.38,65.18,0,17.62
0.51,66.75,0,17.51
0.51,65.89,0,17.5
0.38,66.54,0,17.51
0.38,68.77,0,17.51
0.38,65.97,0,17.5
0.38,65.97,0,17.51
0.38,67.33,0,17.38
0.51,66.28,0,17.51
0.51,65.89,0,17.5
0.51,66.1,0,17.5
0.51,66.67,0,17.38
0.38,67.02,0,17.38
0.51,66.28,0,17.38
0.51,66.28,0,17.37
0.38,66.02,0,17.37
